yyyymm,等ウェイト,高配当,最小分散,クオリティ,企業価値,市場指数
201905,-7.122629366,-6.849185297,-3.193612774,-4.227063623,-7.154185022,-6.372001032
201906,3.150697588,3.305196786,1.129538324,2.637302882,3.036629341,2.975753123
201907,0.412038696,0.462689506,0.416629731,2.17218543,0.248664579,0.909739565
201908,-3.327386262,-3.478686918,-0.715042373,-1.892662691,-4.143316491,-3.217252961
201909,6.754636892,6.771573604,5.308082155,5.223749119,6.833429174,6.091324201
201910,5.462874924,5.752591043,3.698074975,6.848053579,4.799497623,4.88077817
201911,1.909679534,1.5824492,0.985181567,0.92454752,1.566512583,1.871306632
201912,0.868586135,1.371924234,-0.2338144,2.54638615,1.314791403,1.329358685
202001,-2.615212885,-2.156640182,-0.888960724,-0.242259066,-2.429082439,-1.622008428
202002,-10.69925392,-8.136164094,-9.910398334,-8.988768807,-9.34572537,-9.574190432
202003,-6.696792227,-8.261031641,-3.203614085,-1.29463161,-10.06448274,-6.902221284
202004,3.960845431,2.069709018,0.595759783,5.427054784,3.577707665,4.392399779
202005,7.647907853,3.271284984,5.800898798,6.817190163,5.513031502,6.715283674
202006,-0.872497662,-1.37032955,-1.181747893,2.536060507,-1.285105558,0.148653969
202007,-5.296077304,-6.248221406,-5.457650357,-2.513867642,-5.237548544,-3.553551662
202008,9.403594421,10.96121531,6.892986783,3.240581433,10.40466905,7.936409341
202009,0.771339063,-1.601116216,-0.309241374,3.86035979,-1.731106154,0.618640399
202010,-3.804058087,-0.241031427,-3.954823899,-1.749322305,-2.690068392,-2.519180927
202011,11.11668701,8.799679416,8.668489766,13.34673005,10.69410127,12.21238786
202012,2.091258156,4.243681923,1.527003054,1.750069936,3.983468536,3.117454876
